"Front","Back"
"Umiem dobrze pływać (I swim well)","수영을 잘해요"
"Nie umiem pływać (I can't swim)","수영을 못해요"
"Pływam słabo / niezbyt dobrze (I don't swim well)","수영을 잘 못해요"
"Dobrze gotuję (I cook well)","요리를 잘해요"
"Nie umiem gotować (I can't cook)","요리를 못해요"
"Gotuję słabo / niezbyt dobrze (I don't cook well)","요리를 잘 못해요"
"Śpiewam dobrze (I sing well)","노래를 잘해요"
"Nie umiem śpiewać (I can't sing)","노래를 못해요"
"Śpiewam słabo (I don't sing well)","노래를 잘 못해요"
"Dobrze tańczę (I dance well)","춤을 잘 춰요"
"Nie umiem tańczyć (I can't dance)","춤을 못 춰요"
"Tańczę słabo (I don't dance well)","춤을 잘 못 춰요"
"Dobrze gram na gitarze (I play guitar well)","기타를 잘 쳐요"
"Nie gram na gitarze (I can't play the guitar)","기타를 못 쳐요"
"Gram słabo na gitarze (I don't play the guitar well)","기타를 잘 못 쳐요"
"Dobrze mówię po angielsku (I speak English well)","영어를 잘해요"
"Nie mówię po angielsku (I can't speak English)","영어를 못해요"
"Mówię słabo po angielsku (I speak English poorly)","영어를 잘 못해요"
"Dobrze gram na saksofonie (I play saxophone well)","색소폰을 잘 불어요"
"Nie gram na saksofonie (I can't play saxophone)","색소폰을 못 불어요"
"Gram słabo na saksofonie (I don't play saxophone well)","색소폰을 잘 못 불어요"
"Lubię się uczyć (I like learning)","배우는 것을 좋아해요"
"Nie lubię ćwiczyć (I dislike exercising)","운동을 싫어해요"
"Lubię śpiewać (I like singing)","노래 부르는 것을 좋아해요"
"Nie lubię ostrego jedzenia (I don't like spicy food)","매운 음식을 싫어해요"
"Lubię czytać książki (I like reading books)","책 읽는 것을 좋아해요"
"Nie lubię wstawać rano (I dislike getting up early)","아침에 일어나는 것을 싫어해요"
