"Front","Back"
"ja (formalnie / nieformalnie) (I (formal / informal))","저 / 나"
"moje (formalnie / nieformalnie) (my (formal / informal))","제 / 내"
"ty (you)","너"
"ty (rzadko, formalnie) (you (formal, rarely used))","당신"
"my / nasz (inclusive) (we / our)","우리"
"ta osoba (this person)","이 사람"
"tamta osoba (that person)","그 사람"
"tamta osoba (daleko) (that person (far away))","저 사람"
"kto (who)","누구"
"co (what)","뭐 / 무엇"
"gdzie (where)","어디"
"kiedy (when)","언제"
"dlaczego (why)","왜"
"jak (how)","어떻게"
"jaki (rodzaj) (what kind of)","무슨"
"który (z opisu) (which (descriptive))","어떤"
"ile (ilość) (how many / how much)","몇"
"to (rzecz blisko mówiącego) (this (thing near speaker))","이것"
"tamto (blisko rozmówcy) (that (thing near listener))","그것"
"tamto (daleko) (that over there)","저것"
"ten/ta/to (rzeczownik) (this + noun)","이 + 명사"
"tamten/tamta (rzeczownik) (that + noun)","그 + 명사"
"tamten (daleko) (that (far) + noun)","저 + 명사"
"temat zdania (kontrast / ogólnie) (topic particle (contrast / general))","은 / 는"
"podmiot zdania (subject particle)","이 / 가"
"dopełnienie (biernik) (object particle)","을 / 를"
"kierunek / miejsce docelowe (to / at (direction or destination))","에"
"miejsce czynności (at / from (location of action))","에서"
"i / z (kimś) (and / with (someone))","하고"
"i / z (styl pisemny) (and / with (written/formal))","와 / 과"
"i / z (potocznie) (and / with (casual))","랑 / 이랑"
"nie móc (przed czasownikiem) (can’t (physically or circumstantially))","못"
"nie (zaprzeczenie ogólne) (not (general negation))","안"
"nie móc (formalnie) (can’t (formal/written))","~지 못하다"
"nie robić (formalnie) (do not (formal/written))","~지 않다"
"now (teraz)","지금"
"today (dzisiaj)","오늘"
"yesterday (wczoraj)","어제"
"tomorrow (jutro)","내일"
"recently (ostatnio)","요즘"
"Dlaczego nie możesz? (Why can’t you?)","왜 못 해요?"
"Co robisz? (What are you doing?)","뭐 해요?"
"Z kim idziesz? (With whom are you going?)","누구하고 가요?"
"Dokąd idziesz? (Where are you going?)","어디에 가요?"
"Jaki film oglądałeś? (What kind of movie did you watch?)","무슨 영화를 봤어요?"
"O której wstajesz? (What time do you wake up?)","몇 시에 일어나요?"
