"Front","Back"
"Byłem zmęczony, więc poszedłem do domu (I was tired, so I went home)","피곤해서 집에 갔어요"
"Padało, więc nie poszedłem na spacer (It was raining, so I couldn't take a walk)","비가 와서 산책을 못 했어요"
"Byłem głodny, więc zjadłem (I was hungry, so I ate)","배고파서 밥을 먹었어요"
"Nie miałem czasu, więc nie poszedłem (I didn't have time, so I couldn't go)","시간이 없어서 못 갔어요"
"Miałem dużo pracy, więc nie spałem (I had a lot of work, so I couldn't sleep)","일이 많아서 잠을 못 잤어요"
"Była ładna pogoda, więc poszedłem do parku (The weather was nice, so I went to the park)","날씨가 좋아서 공원에 갔어요"
"Przeziębiłem się, więc nie wyszedłem (I caught a cold, so I didn’t go out)","감기에 걸려서 못 나갔어요"
"Wstałem późno, więc spóźniłem się do szkoły (I woke up late, so I was late for school)","늦게 일어나서 학교에 늦었어요"
"Miałem egzamin, więc się uczyłem (I had a test, so I studied)","시험이 있어서 공부했어요"
"Był korek, więc się spóźniłem (There was traffic, so I was late)","교통이 막혀서 늦었어요"
"Bolał mnie brzuch, więc wziąłem lek (I had a stomachache, so I took medicine)","배가 아파서 약을 먹었어요"
"Jest za mały, więc nie umie czytać (He is too young, so he can't read)","너무 어려서 못 읽어요"
"Nie miałem czasu, więc nie zrobiłem zadania (I didn’t have time, so I couldn’t do my homework)","시간이 없어서 숙제를 못했어요"
"Mam alergię, więc nie mogę mieć psa (I have an allergy, so I can’t raise a dog)","알레르기가 있어서 강아지를 못 키워요"
"Zapomniałem, więc nie zadzwoniłem (I forgot, so I couldn’t call)","잊어버려서 전화를 못 했어요"
