"Front","Back"
"Pływam / Nie umiem pływać (I swim / I can't swim)","수영을 해요 / 못해요 / 하지 못해요"
"Zrobiłem zadanie / Nie zrobiłem (I did my homework / I couldn't do it)","숙제를 했어요 / 못했어요 / 하지 못했어요"
"Obejrzałem film / Nie mogłem (I watched a movie / I couldn't watch it)","영화를 봤어요 / 못 봤어요 / 보지 못했어요"
"Idę do szkoły / Nie poszedłem (I go to school / I couldn't go)","학교에 가요 / 못 갔어요 / 가지 못했어요"
"Gram w koszykówkę / Nie mogę grać (I play basketball / I can't play)","농구를 해요 / 못해요 / 하지 못해요"
"Gotuję / Nie gotuję dobrze (I cook / I can't cook well)","요리를 해요 / 잘 못해요 / 잘 하지 못해요"
"Czytam książkę / Nie czytam (I read a book / I can't read)","책을 읽어요 / 못 읽어요 / 읽지 못해요"
"Spaceruję / Nie pospacerowałem (I take a walk / I couldn't)","산책을 해요 / 못 했어요 / 하지 못했어요"
"Śpię / Nie spałem (I sleep / I couldn't sleep)","잠을 자요 / 못 잤어요 / 자지 못했어요"
"Dzwonię / Nie zadzwoniłem (I call / I couldn't call)","전화를 해요 / 못 했어요 / 하지 못했어요"
"Uprawiam taekwondo / Nie umiem (I do taekwondo / I can't do it)","태권도를 해요 / 못해요 / 하지 못해요"
"Gram na pianinie / Nie gram (I play piano / I can't play)","피아노를 쳐요 / 못 쳐요 / 치지 못해요"
"Gram na saksofonie / Nie umiem (I play saxophone / I can't play)","색소폰을 불어요 / 못 불어요 / 불지 못해요"
"Jeżdżę konno / Nie jeżdżę (I ride a horse / I can't ride)","말을 타요 / 못 타요 / 타지 못해요"
"Śpiewam / Nie śpiewam (I sing / I can't sing)","노래를 불러요 / 못 불러요 / 부르지 못해요"
