"Front","Back"
"안 가요 / 가지 않아요 (nie idę)","가요"
"안 와요 / 오지 않아요 (nie przychodzę)","와요"
"안 먹어요 / 먹지 않아요 (nie jem)","먹어요"
"안 마셔요 / 마시지 않아요 (nie piję)","마셔요"
"안 자요 / 자지 않아요 (nie śpię)","자요"
"안 일해요 / 일하지 않아요 (nie pracuję)","일해요"
"안 공부해요 / 공부하지 않아요 (nie uczę się)","공부해요"
"안 운동해요 / 운동하지 않아요 (nie ćwiczę)","운동해요"
"안 요리해요 / 요리하지 않아요 (nie gotuję)","요리해요"
"안 씻어요 / 씻지 않아요 (nie myję się)","씻어요"
"안 입어요 / 입지 않아요 (nie ubieram się)","입어요"
"안 벗어요 / 벗지 않아요 (nie rozbieram się)","벗어요"
"안 사요 / 사지 않아요 (nie kupuję)","사요"
"안 봐요 / 보지 않아요 (nie oglądam / nie patrzę)","봐요"
"안 읽어요 / 읽지 않아요 (nie czytam)","읽어요"
"안 써요 / 쓰지 않아요 (nie piszę / nie używam)","써요"
"안 말해요 / 말하지 않아요 (nie mówię)","말해요"
"안 노래해요 / 노래하지 않아요 (nie śpiewam)","노래해요"
"안 춤춰요 / 춤추지 않아요 (nie tańczę)","춤춰요"
"안 기다려요 / 기다리지 않아요 (nie czekam)","기다려요"
"안 줘요 / 주지 않아요 (nie daję)","줘요"
"안 만나요 / 만나지 않아요 (nie spotykam)","만나요"
"안 좋아해요 / 좋아하지 않아요 (nie lubię)","좋아해요"
"안 싫어해요 / 싫어하지 않아요 (nie nie lubię (lubię))","싫어해요"
"안 일어나요 / 일어나지 않아요 (nie wstaję)","일어나요"
"안 게임해요 / 게임하지 않아요 (nie gram)","게임해요"
"안 전화해요 / 전화하지 않아요 (nie dzwonię)","전화해요"
"안 들어요 / 듣지 않아요 (nie słucham)","들어요"
"안 닫아요 / 닫지 않아요 (nie zamykam)","닫아요"
"안 열어요 / 열지 않아요 (nie otwieram)","열어요"
